#SpeciesCode	Sample	Ref	read1	read2
APT	C19APT	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C19APT_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C19APT_2.fq.trimmed.paired.fq
ARG	A18ARG	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A18ARG_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A18ARG_2.fq.trimmed.paired.fq
CHW	C13CHW	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C13CHW_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C13CHW_2.fq.trimmed.paired.fq
CMR	C14CMR	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C14CMR_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C14CMR_2.fq.trimmed.paired.fq
CSB	12CSB	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/12CSB_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/12CSB_2.fq.trimmed.paired.fq
EDG	E18.EDG	EDG	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/E18.EDG_1.concat.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/E18.EDG_2.concat.fq.gz
EGH	C3EGH	EDG	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C3EGH_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C3EGH_2.fq.trimmed.paired.fq
EGN	C5EGN	EDG	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C5EGN_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C5EGN_2.fq.trimmed.paired.fq
ELM	C7ELM	EDG	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C7ELM_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C7ELM_2.fq.trimmed.paired.fq
EMF	14EMF	EDG	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/14EMF_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/14EMF_2.fq.trimmed.paired.fq
ESP	C6ESP	EDG	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C6ESP_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C6ESP_2.fq.trimmed.paired.fq
ETO	C2ETO	EDG	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C2ETO_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C2ETO_2.fq.trimmed.paired.fq
SBT	C8.SBT	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C8.SBT_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C8.SBT_2.fq.gz.trimmed.paired.fq.gz
SCV	C11SCV_concat	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C11SCV_concat_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C11SCV_concat_2.fq.gz.trimmed.paired.fq.gz
SGG	C9.SGG	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C9.SGG_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C9.SGG_2.fq.gz.trimmed.paired.fq.gz
SSC	M1.SSC	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/M1.SSC_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/M1.SSC_2.fq.gz.trimmed.paired.fq.gz
FAM	G2.FAM	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/G2.FAM_1.concat.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/G2.FAM_2.concat.fq.gz
FDL	C29FDL	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C29FDL_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C29FDL_2.fq.trimmed.paired.fq
FFL	J3.FFL	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/J3.FFL_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/J3.FFL_2.fq.gz.trimmed.paired.fq.gz
FGR	4FGR	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/4FGR_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/4FGR_2.fq.trimmed.paired.fq
FSC	C31FSC	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C31FSC_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C31FSC_2.fq.trimmed.paired.fq
FFT	C28FFT	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C28FFT_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C28FFT_2.fq.trimmed.paired.fq
FSJ	J1.FSJ	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/J1.FSJ_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/J1.FSJ_2.fq.gz.trimmed.paired.fq.gz
NFS	C35.NFS	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/C35.NFS_R1.fastq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/C35.NFS_R2.fastq.gz.trimmed.paired.fq.gz
NFS_lowcov	C35NFS	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C35NFS_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C35NFS_2.fq.trimmed.paired.fq
NKF	C37.NKF	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/C37.NKF_R1.fastq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/C37.NKF_R2.fastq.gz.trimmed.paired.fq.gz
NKF_lowcov	C37NKF	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C37NKF_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C37NKF_2.fq.trimmed.paired.fq
NOC	C40.NOC	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/C40.NOC_R1.fastq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/C40.NOC_R2.fastq.gz.trimmed.paired.fq.gz
NOC_lowcov	C40NOC	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C40NOC_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C40NOC_2.fq.trimmed.paired.fq
NRC	G1.NRC	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/G1.NRC_1.concat.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/G1.NRC_2.concat.fq.gz
NVG	V3.NVG	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/V3.NVG_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/V3.NVG_2.fq.gz.trimmed.paired.fq.gz
NVS	NVS	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/NVS_R1.fastq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2017_3_3/NVS_R2.fastq.gz.trimmed.paired.fq.gz
NVS_lowcov	10NVS	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/10NVS_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/10NVS_2.fq.trimmed.paired.fq
APL	C44APL	PLP	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C44APL_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C44APL_2.fq.trimmed.paired.fq
FTH	FTH	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_denovo_PE_run4/FTH_30x_CAGATC_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_denovo_PE_run4/FTH_30x_CAGATC_2.fq.gz.trimmed.paired.fq.gz
PSY	PSY	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/PSY_30x_CTTGTA_1.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/PSY_30x_CTTGTA_2.fq.gz
NOR	NOR	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/NOR_80x_CGATGT_1.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/NOR_80x_CGATGT_2.fq.gz
PLP	PLP	PLP	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/PLP_80x_GCCAAT_1.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/PLP_80x_GCCAAT_2.fq.gz
AAU	AAU	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/AAU_2_80x_TGACCA_1.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/AAU_2_80x_TGACCA_2.fq.gz
CTO	CTO	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/CTO_80x_ACAGTG_1.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/raw/denovo/ngxbio/4th_Run/CTO_80x_ACAGTG_2.fq.gz
NFZ	NOR	NOR	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/correctedfq/BGI170_PE_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/pseudogenomes/correctedfq/BGI170_PE_1.fq.gz.trimmed.paired.fq.gz
